#{"t_start": 1770189414.7087045, "env_id": "None"}
r,l,t
-1.918786,50,32.146536
1.6837817,50,32.146536
7.2967877,50,32.146536
4.7309732,50,32.146536
12.23958,50,32.146536
-0.724376,50,32.495496
-16.25126,50,32.495496
-8.609041,50,32.495496
-6.7520943,50,32.495496
-4.5766945,50,32.495496
-2.5206947,50,32.495496
4.6125636,50,32.495496
-8.795116,50,32.495496
-5.553461,50,32.850934
6.2299767,50,32.850934
9.031029,50,32.850934
-7.5484686,50,32.850934
-5.4853225,50,32.850934
7.5400686,50,32.850934
9.921856,50,32.850934
-8.106924,50,32.850934
-2.0668688,50,33.371818
-0.31625336,50,33.371818
8.739718,50,33.371818
9.66413,50,33.371818
5.616325,50,33.371818
-0.48506767,50,33.371818
4.2047567,50,33.371818
-3.4402933,50,33.371818
17.804714,50,33.725266
-6.3534117,50,33.725266
-10.123498,50,33.725266
5.0929613,50,33.725266
7.876479,50,33.725266
4.9939065,50,33.725266
0.6685388,50,33.725266
-2.9695475,50,33.725266
-8.980852,50,34.077246
-2.08067,50,34.077246
2.4514527,50,34.077246
-5.367023,50,34.077246
3.5922732,50,34.077246
-1.7548947,50,34.077246
-20.907682,50,34.077246
11.635896,50,34.077246
4.410593,50,34.433285
1.503211,50,34.433285
1.5259161,50,34.433285
0.6113574,50,34.433285
0.7718692,50,34.433285
-5.2649865,50,34.433285
-9.01278,50,34.433285
4.3455505,50,34.433285
-2.8638442,50,34.788215
3.6362107,50,34.788215
2.270999,50,34.788215
0.942114,50,34.788215
-0.26875818,50,34.788215
0.019688211,50,34.788215
5.6298704,50,34.788215
-17.906553,50,34.788215
-1.1331298,50,35.179259
-15.071576,50,35.179259
7.7958384,50,35.179259
-3.5415576,50,35.179259
-1.9930291,50,35.179259
-2.0153377,50,35.179259
-2.4071937,50,35.179259
-1.6975168,50,35.179259
-8.68651,50,35.528245
3.7580879,50,35.528245
-2.8626423,50,35.528245
1.7603259,50,35.528245
9.861619,50,35.528245
-27.763014,50,35.528245
0.47576737,50,35.528245
0.10964298,50,35.528245
-3.8148348,50,35.918217
-5.2291493,50,35.918217
7.293769,50,35.918217
-12.665994,50,35.918217
5.8799505,50,35.918217
1.0532051,50,35.918217
4.7354717,50,35.918217
-6.6335707,50,35.918217
5.124402,50,36.26653
6.010818,50,36.26653
-1.0849915,50,36.26653
-5.9150677,50,36.26653
-6.9453316,50,36.26653
10.764621,50,36.26653
6.7490754,50,36.26653
-0.79701924,50,36.26653
5.828631,50,36.770325
4.8085785,50,36.770325
1.9057748,50,36.770325
-0.14421803,50,36.770325
-0.8009634,50,36.770325
1.4678949,50,36.770325
5.525007,50,36.770325
-3.1121528,50,36.770325
0.8796586,50,37.135432
-4.798131,50,37.135432
3.109905,50,37.135432
6.486427,50,37.135432
-16.173393,50,37.135432
-4.3151255,50,37.135432
0.6958829,50,37.135432
-3.8856926,50,37.135432
-10.389669,50,37.489063
8.366858,50,37.489063
2.0659273,50,37.489063
-7.022504,50,37.489063
8.538283,50,37.489063
-14.641351,50,37.489063
-2.5699418,50,37.489063
-7.607931,50,37.489063
8.850189,50,37.876558
-9.55642,50,37.876558
2.3503332,50,37.876558
-0.73321587,50,37.876558
5.1213713,50,37.876558
-7.5533533,50,37.876558
-24.580729,50,37.876558
-20.737488,50,37.876558
0.6659805,50,38.271013
-23.178448,50,38.271013
5.5968924,50,38.271013
8.8420105,50,38.271013
2.9928367,50,38.271013
-0.3788898,50,38.271013
-1.9237458,50,38.271013
-35.02457,50,38.271013
6.146155,50,38.685018
3.908754,50,38.685018
-0.010171711,50,38.685018
-7.056602,50,38.685018
1.1271005,50,38.685018
-0.2848196,50,38.685018
1.2521653,50,38.685018
7.0924473,50,38.685018
-11.68,50,39.065815
14.410797,50,39.065815
6.3071375,50,39.065815
-0.5099901,50,39.065815
6.0351143,50,39.065815
0.29144698,50,39.065815
3.5061479,50,39.065815
-3.6898131,50,39.065815
-4.619837,50,39.455835
6.197176,50,39.455835
2.6023405,50,39.455835
8.255778,50,39.455835
18.834988,50,39.455835
7.6110616,50,39.455835
-11.48409,50,39.455835
1.1243141,50,39.455835
-1.8591757,50,39.820544
-7.9405413,50,39.820544
0.8741922,50,39.820544
-4.244041,50,39.820544
-11.96252,50,39.820544
-3.1151083,50,39.820544
7.458443,50,39.820544
-11.936112,50,39.820544
0.49456942,50,40.346421
1.9554365,50,40.346421
-7.625202,50,40.346421
-5.0542283,50,40.346421
-9.591931,50,40.346421
-3.3652472,50,40.346421
0.18802208,50,40.346421
-8.460284,50,40.346421
4.1166067,50,40.722672
-25.501358,50,40.722672
10.28383,50,40.722672
1.9879256,50,40.722672
-0.77489793,50,40.722672
5.5762324,50,40.722672
2.9217806,50,40.722672
0.81367546,50,40.722672
-14.901415,50,41.081901
3.142987,50,41.081901
1.775825,50,41.081901
6.4218035,50,41.081901
